User_ID,Age,Gender,Budget,Preferred_Climate,Interest,Travel_Duration,Accommodation_Preference,Transportation_Mode,Activity_Level,Food_Preference,Travel_Type,Destination
9656,65,Female,Low,Tropical,Adventure,Short (1-3 days),Hotel,Car,High,Non-Vegetarian,Solo,Indonesia
2546,41,Other,High,Cold,Relaxation,Long (8+ days),Guesthouse,Cruise,Low,Vegan,Solo,Finland
2593,34,Male,Low,Tropical,Adventure,Long (8+ days),Hotel,Train,Moderate,Vegan,Solo,Indonesia
1189,48,Male,Medium,Cold,Culture,Medium (4-7 days),Villa,Car,Low,Vegan,Family,France
7967,29,Male,Low,Tropical,Nightlife,Short (1-3 days),Airbnb,Car,Low,Vegetarian,Couple,Spain
6078,19,Male,High,Tropical,Relaxation,Short (1-3 days),Hotel,Flight,High,Non-Vegetarian,Solo,Maldives
108,51,Other,Low,Cold,Nature,Medium (4-7 days),Guesthouse,Cruise,High,Vegetarian,Solo,Iceland
1316,27,Male,Low,Tropical,Nature,Short (1-3 days),Villa,Train,Low,Vegetarian,Family,France
8188,25,Other,Low,Tropical,Nightlife,Long (8+ days),Hotel,Car,Moderate,Vegetarian,Couple,Indonesia
2754,56,Other,Medium,Cold,Relaxation,Medium (4-7 days),Villa,Flight,High,Non-Vegetarian,Family,Vietnam
9754,40,Other,Low,Warm,Adventure,Medium (4-7 days),Resort,Flight,Moderate,Vegetarian,Couple,Thailand
6232,51,Other,Low,Cold,Adventure,Long (8+ days),Resort,Car,High,Vegan,Solo,Italy
2877,33,Other,Low,Warm,Culture,Long (8+ days),Resort,Flight,High,Vegetarian,Family,Spain
5324,62,Male,High,Warm,Nature,Long (8+ days),Airbnb,Cruise,Low,Non-Vegetarian,Solo,Bali
800,50,Male,Low,Warm,History,Long (8+ days),Airbnb,Flight,High,Vegetarian,Couple,Japan
3571,43,Other,Low,Tropical,Nature,Short (1-3 days),Guesthouse,Train,High,Non-Vegetarian,Solo,Germany
2895,28,Male,Low,Tropical,Nightlife,Long (8+ days),Hotel,Flight,High,Non-Vegetarian,Solo,Switzerland
2928,42,Female,High,Cold,Nightlife,Long (8+ days),Guesthouse,Train,Low,Vegan,Solo,Italy
8179,52,Female,Medium,Warm,Nightlife,Short (1-3 days),Guesthouse,Cruise,High,Non-Vegetarian,Solo,Greece
972,32,Male,High,Tropical,History,Long (8+ days),Resort,Cruise,Moderate,Vegetarian,Solo,New Zealand
6688,50,Female,Low,Cold,History,Long (8+ days),Resort,Flight,Low,Vegan,Couple,Spain
8576,63,Other,High,Cold,Nightlife,Short (1-3 days),Guesthouse,Flight,Low,Non-Vegetarian,Couple,Thailand
2021,62,Female,High,Tropical,Nature,Long (8+ days),Guesthouse,Cruise,High,Non-Vegetarian,Solo,Costa Rica
9055,44,Female,High,Cold,Nature,Short (1-3 days),Villa,Car,Low,Non-Vegetarian,Solo,Spain
953,39,Female,Medium,Cold,Adventure,Long (8+ days),Guesthouse,Flight,Moderate,Non-Vegetarian,Solo,Canada
5360,63,Male,Low,Warm,Nightlife,Short (1-3 days),Villa,Cruise,Low,Vegetarian,Couple,Australia
3858,31,Male,Medium,Warm,Nightlife,Long (8+ days),Airbnb,Train,High,Vegetarian,Family,Greece
5862,21,Female,Medium,Warm,Culture,Medium (4-7 days),Guesthouse,Cruise,Moderate,Non-Vegetarian,Couple,Italy
3146,18,Male,Medium,Warm,History,Long (8+ days),Airbnb,Cruise,Low,Non-Vegetarian,Solo,Egypt
3306,26,Male,Medium,Warm,History,Short (1-3 days),Resort,Cruise,High,Vegan,Solo,Egypt
3007,39,Male,Medium,Warm,Nature,Long (8+ days),Guesthouse,Car,Low,Vegetarian,Couple,Singapore
9002,56,Male,Medium,Warm,Relaxation,Long (8+ days),Villa,Flight,High,Non-Vegetarian,Solo,Greece
7771,26,Other,Medium,Tropical,Nature,Short (1-3 days),Guesthouse,Train,Low,Vegan,Solo,Greece
7439,40,Other,High,Tropical,Nightlife,Long (8+ days),Hotel,Train,Low,Non-Vegetarian,Family,Singapore
7943,27,Female,High,Warm,Nightlife,Long (8+ days),Villa,Car,High,Vegan,Family,USA
9239,31,Male,Medium,Warm,Relaxation,Short (1-3 days),Airbnb,Flight,High,Vegetarian,Solo,Singapore
1057,63,Female,Low,Tropical,Nightlife,Short (1-3 days),Villa,Train,Low,Vegan,Couple,USA
3155,49,Female,High,Warm,History,Long (8+ days),Resort,Cruise,Low,Vegetarian,Couple,Norway
3788,37,Other,Low,Warm,History,Long (8+ days),Villa,Train,Low,Vegetarian,Couple,Iceland
9190,48,Male,Medium,Cold,Adventure,Short (1-3 days),Villa,Flight,Moderate,Vegan,Family,Canada
7826,38,Female,High,Tropical,Nature,Long (8+ days),Guesthouse,Car,Moderate,Vegetarian,Solo,Costa Rica
7540,52,Other,Low,Tropical,History,Medium (4-7 days),Villa,Train,Moderate,Vegetarian,Couple,Spain
7232,43,Male,Medium,Warm,History,Medium (4-7 days),Villa,Flight,High,Non-Vegetarian,Family,Egypt
765,45,Other,High,Tropical,Adventure,Long (8+ days),Resort,Train,Low,Non-Vegetarian,Couple,Japan
5020,64,Female,Medium,Tropical,Adventure,Long (8+ days),Resort,Flight,Low,Non-Vegetarian,Solo,Mexico
4904,60,Male,Low,Cold,Culture,Long (8+ days),Resort,Flight,High,Non-Vegetarian,Couple,Vietnam
8094,50,Female,Low,Cold,Nature,Short (1-3 days),Hotel,Car,Low,Vegan,Couple,Iceland
6844,30,Other,Low,Warm,Nightlife,Short (1-3 days),Guesthouse,Car,Low,Non-Vegetarian,Family,Finland
2166,25,Other,Medium,Cold,Nightlife,Long (8+ days),Resort,Car,Moderate,Vegan,Solo,Costa Rica
1863,30,Other,Low,Warm,Nature,Short (1-3 days),Guesthouse,Cruise,Low,Non-Vegetarian,Couple,Indonesia
7851,39,Male,High,Tropical,Nature,Long (8+ days),Resort,Car,Low,Vegetarian,Solo,Costa Rica
9124,35,Other,High,Cold,Culture,Long (8+ days),Resort,Flight,Moderate,Non-Vegetarian,Couple,Switzerland
2341,46,Other,High,Warm,Nature,Long (8+ days),Villa,Cruise,Moderate,Vegetarian,Couple,Indonesia
5528,33,Male,Medium,Cold,Adventure,Medium (4-7 days),Hotel,Flight,Moderate,Vegan,Family,Canada
6744,20,Female,High,Warm,History,Medium (4-7 days),Resort,Train,Moderate,Vegetarian,Family,France
4004,20,Male,Low,Warm,Culture,Medium (4-7 days),Airbnb,Cruise,Low,Non-Vegetarian,Family,Spain
1124,45,Female,Medium,Warm,History,Medium (4-7 days),Villa,Flight,Low,Vegan,Family,Egypt
8710,42,Other,Medium,Cold,Nightlife,Long (8+ days),Airbnb,Train,Low,Non-Vegetarian,Family,Costa Rica
4050,34,Other,Low,Cold,Nature,Short (1-3 days),Resort,Cruise,High,Non-Vegetarian,Couple,Iceland
7641,65,Male,High,Tropical,Nature,Long (8+ days),Resort,Cruise,Low,Vegan,Family,Costa Rica
766,33,Female,Medium,Tropical,Nature,Long (8+ days),Villa,Car,Low,Non-Vegetarian,Family,New Zealand
2345,53,Other,Low,Warm,Culture,Medium (4-7 days),Airbnb,Flight,Moderate,Vegan,Solo,Spain
4072,19,Female,Low,Warm,Culture,Medium (4-7 days),Hotel,Train,Moderate,Vegetarian,Couple,Spain
7217,62,Female,Medium,Warm,Relaxation,Short (1-3 days),Resort,Cruise,Low,Non-Vegetarian,Family,Canada
4217,54,Other,Medium,Warm,Adventure,Long (8+ days),Hotel,Train,Moderate,Non-Vegetarian,Solo,Brazil
7953,64,Male,Medium,Cold,Relaxation,Short (1-3 days),Villa,Train,Low,Non-Vegetarian,Family,Norway
5971,25,Other,High,Cold,Nature,Medium (4-7 days),Hotel,Cruise,Low,Vegetarian,Couple,Australia
3351,48,Male,Medium,Warm,Nature,Long (8+ days),Resort,Flight,Moderate,Non-Vegetarian,Solo,Maldives
4696,26,Male,Low,Cold,Nature,Medium (4-7 days),Villa,Cruise,Low,Vegan,Family,Iceland
3400,20,Male,Low,Cold,Culture,Medium (4-7 days),Airbnb,Car,Low,Non-Vegetarian,Family,Finland
4082,29,Other,Medium,Warm,History,Long (8+ days),Hotel,Train,Low,Vegan,Solo,Egypt
9150,42,Female,Medium,Tropical,Culture,Long (8+ days),Guesthouse,Train,High,Vegetarian,Couple,France
1225,58,Female,Medium,Tropical,Adventure,Long (8+ days),Hotel,Car,Moderate,Vegetarian,Couple,Mexico
6293,49,Female,Low,Warm,History,Long (8+ days),Resort,Train,Low,Vegetarian,Solo,Spain
3123,57,Other,Low,Tropical,Nightlife,Medium (4-7 days),Villa,Flight,High,Vegan,Family,New Zealand
511,32,Other,Medium,Cold,Relaxation,Medium (4-7 days),Hotel,Car,Low,Vegan,Solo,Brazil
5795,36,Female,Low,Warm,Culture,Short (1-3 days),Airbnb,Car,High,Non-Vegetarian,Couple,Spain
8182,31,Other,Low,Cold,Nature,Short (1-3 days),Resort,Cruise,High,Vegan,Couple,Iceland
9418,56,Other,High,Tropical,Adventure,Short (1-3 days),Resort,Car,High,Non-Vegetarian,Couple,Maldives
97,46,Female,Medium,Tropical,Adventure,Medium (4-7 days),Guesthouse,Flight,Low,Vegan,Family,Mexico
6682,22,Male,Low,Warm,Relaxation,Short (1-3 days),Resort,Car,Low,Non-Vegetarian,Solo,Finland
1513,64,Male,High,Tropical,Nightlife,Long (8+ days),Hotel,Train,High,Vegan,Family,Singapore
8792,63,Male,Low,Cold,Nature,Medium (4-7 days),Resort,Car,High,Vegan,Family,Iceland
120,31,Female,High,Tropical,Adventure,Medium (4-7 days),Airbnb,Cruise,Low,Non-Vegetarian,Couple,Thailand
7792,25,Other,Low,Tropical,Culture,Long (8+ days),Villa,Cruise,Moderate,Non-Vegetarian,Couple,Vietnam
6518,21,Male,Medium,Cold,Nature,Medium (4-7 days),Hotel,Cruise,High,Non-Vegetarian,Solo,Maldives
34,62,Female,High,Tropical,Culture,Medium (4-7 days),Hotel,Car,Low,Vegetarian,Couple,New Zealand
7888,31,Other,Medium,Cold,Relaxation,Medium (4-7 days),Resort,Cruise,High,Vegetarian,Couple,Canada
6831,33,Male,Low,Warm,Nature,Long (8+ days),Airbnb,Train,Low,Vegetarian,Family,Singapore
5422,57,Other,Low,Cold,History,Short (1-3 days),Resort,Cruise,Moderate,Vegetarian,Couple,Maldives
1069,54,Female,Low,Warm,Nightlife,Medium (4-7 days),Hotel,Train,High,Vegetarian,Couple,Germany
1348,59,Male,Low,Tropical,Nature,Long (8+ days),Resort,Car,Low,Vegan,Couple,Iceland
4748,35,Male,High,Cold,Nature,Medium (4-7 days),Hotel,Cruise,High,Vegan,Family,Japan
6006,58,Other,Medium,Cold,Relaxation,Long (8+ days),Airbnb,Car,High,Vegan,Couple,USA
6040,45,Male,Medium,Warm,Adventure,Long (8+ days),Airbnb,Car,Moderate,Vegetarian,Family,Brazil
3818,26,Female,High,Cold,Culture,Short (1-3 days),Guesthouse,Flight,Moderate,Vegetarian,Solo,Switzerland
8447,57,Female,Medium,Tropical,Culture,Long (8+ days),Guesthouse,Flight,Low,Vegan,Solo,Mexico
5270,40,Female,High,Tropical,Culture,Long (8+ days),Airbnb,Cruise,Moderate,Non-Vegetarian,Family,New Zealand
6898,54,Female,High,Cold,Nature,Medium (4-7 days),Hotel,Train,High,Non-Vegetarian,Family,Philippines
5310,60,Male,Medium,Warm,Adventure,Medium (4-7 days),Hotel,Train,Moderate,Vegetarian,Family,Brazil
32,29,Other,High,Cold,Nature,Long (8+ days),Guesthouse,Flight,Moderate,Vegetarian,Family,New Zealand
5675,46,Female,Low,Tropical,Culture,Short (1-3 days),Guesthouse,Flight,High,Vegetarian,Couple,Vietnam
4387,60,Other,Medium,Tropical,History,Medium (4-7 days),Guesthouse,Car,Low,Vegan,Couple,Philippines
30,36,Other,Medium,Tropical,Adventure,Long (8+ days),Villa,Flight,Low,Non-Vegetarian,Couple,Mexico
4203,37,Female,Low,Tropical,Nature,Short (1-3 days),Villa,Cruise,Moderate,Vegan,Couple,Singapore
7508,36,Other,Medium,Warm,History,Short (1-3 days),Villa,Car,High,Vegetarian,Family,Egypt
736,43,Other,Medium,Tropical,Relaxation,Short (1-3 days),Guesthouse,Cruise,Low,Non-Vegetarian,Solo,Thailand
2068,44,Other,High,Tropical,Relaxation,Medium (4-7 days),Airbnb,Cruise,Moderate,Non-Vegetarian,Family,Maldives
107,38,Other,High,Cold,Relaxation,Short (1-3 days),Hotel,Car,Moderate,Vegan,Solo,Finland
9645,63,Other,Low,Tropical,History,Medium (4-7 days),Resort,Train,Moderate,Vegan,Couple,Australia
8895,62,Female,High,Warm,Adventure,Long (8+ days),Hotel,Train,High,Vegetarian,Solo,Australia
8021,64,Female,Medium,Cold,Nature,Medium (4-7 days),Villa,Cruise,Low,Vegetarian,Solo,Singapore
2233,53,Female,Medium,Tropical,Relaxation,Short (1-3 days),Villa,Flight,Low,Vegan,Solo,France
994,33,Male,Medium,Cold,Nightlife,Medium (4-7 days),Resort,Train,High,Non-Vegetarian,Family,Canada
9413,23,Male,High,Tropical,Nightlife,Short (1-3 days),Hotel,Train,Moderate,Vegan,Couple,Singapore
7059,42,Other,Low,Tropical,Adventure,Short (1-3 days),Villa,Cruise,Moderate,Vegetarian,Family,Indonesia
6790,59,Other,Medium,Cold,Nature,Long (8+ days),Guesthouse,Flight,High,Non-Vegetarian,Family,New Zealand
361,56,Other,Medium,Tropical,Culture,Medium (4-7 days),Resort,Car,Low,Non-Vegetarian,Couple,USA
305,52,Other,Low,Warm,Adventure,Long (8+ days),Resort,Train,Low,Vegetarian,Solo,Thailand
2628,50,Male,High,Warm,Culture,Short (1-3 days),Villa,Train,High,Non-Vegetarian,Couple,Switzerland
8966,50,Male,Medium,Cold,History,Medium (4-7 days),Villa,Flight,High,Non-Vegetarian,Solo,Iceland
4514,55,Other,High,Warm,Nature,Long (8+ days),Hotel,Train,Moderate,Vegetarian,Couple,Indonesia
5911,61,Male,High,Cold,Relaxation,Long (8+ days),Guesthouse,Train,Moderate,Vegetarian,Solo,Finland
8314,51,Other,High,Warm,History,Long (8+ days),Airbnb,Cruise,High,Non-Vegetarian,Couple,Iceland
3101,43,Female,Medium,Cold,Nature,Short (1-3 days),Guesthouse,Cruise,Moderate,Non-Vegetarian,Solo,Bali
5704,59,Male,High,Tropical,Nature,Long (8+ days),Guesthouse,Flight,High,Vegetarian,Family,Costa Rica
3899,49,Other,Medium,Cold,Nightlife,Medium (4-7 days),Guesthouse,Train,Low,Vegetarian,Family,Philippines
5441,37,Other,High,Warm,Culture,Medium (4-7 days),Hotel,Flight,Low,Non-Vegetarian,Couple,Thailand
7931,52,Other,Medium,Tropical,Relaxation,Long (8+ days),Resort,Flight,High,Vegan,Solo,Vietnam
622,30,Female,Medium,Tropical,Adventure,Short (1-3 days),Villa,Train,Low,Vegan,Couple,Mexico
7236,27,Other,Low,Warm,Adventure,Long (8+ days),Resort,Flight,High,Vegan,Family,Thailand
2499,52,Male,Medium,Warm,Adventure,Long (8+ days),Airbnb,Car,Moderate,Non-Vegetarian,Solo,Brazil
714,64,Female,Low,Warm,Nightlife,Medium (4-7 days),Villa,Train,Low,Vegan,Couple,Philippines
8404,37,Female,Low,Cold,Relaxation,Medium (4-7 days),Villa,Cruise,Low,Non-Vegetarian,Family,Norway
2856,55,Female,Low,Tropical,Nature,Long (8+ days),Guesthouse,Flight,High,Vegetarian,Family,Switzerland
4270,50,Female,High,Tropical,Nature,Long (8+ days),Hotel,Flight,Moderate,Vegetarian,Family,Costa Rica
2909,34,Male,Medium,Warm,Culture,Long (8+ days),Villa,Train,Moderate,Vegetarian,Couple,Italy
8081,52,Other,Medium,Tropical,Culture,Medium (4-7 days),Guesthouse,Cruise,Low,Vegetarian,Couple,Indonesia
4517,35,Other,Low,Tropical,Nature,Long (8+ days),Hotel,Flight,Moderate,Non-Vegetarian,Couple,New Zealand
1262,59,Other,Low,Warm,Nature,Long (8+ days),Hotel,Cruise,Moderate,Non-Vegetarian,Solo,Norway
3161,37,Male,Medium,Warm,Nightlife,Long (8+ days),Airbnb,Flight,Moderate,Non-Vegetarian,Couple,Greece
971,20,Other,Medium,Warm,Relaxation,Short (1-3 days),Airbnb,Flight,Moderate,Vegetarian,Solo,Maldives
3913,54,Female,Low,Tropical,Culture,Long (8+ days),Hotel,Flight,Low,Vegetarian,Solo,Vietnam
5199,51,Male,High,Cold,Adventure,Short (1-3 days),Resort,Cruise,Low,Non-Vegetarian,Couple,Japan
8847,59,Other,Low,Tropical,Adventure,Short (1-3 days),Villa,Train,Low,Non-Vegetarian,Solo,Indonesia
260,36,Other,Low,Tropical,Nightlife,Long (8+ days),Villa,Car,High,Vegan,Solo,Italy
3791,42,Other,Medium,Warm,Nature,Short (1-3 days),Hotel,Car,Moderate,Vegan,Solo,Norway
9203,48,Male,Medium,Cold,History,Medium (4-7 days),Resort,Cruise,High,Vegan,Solo,Australia
488,27,Other,Low,Cold,Relaxation,Long (8+ days),Airbnb,Flight,Low,Vegetarian,Couple,Norway
7908,40,Male,High,Tropical,Culture,Medium (4-7 days),Hotel,Train,Moderate,Vegetarian,Solo,New Zealand
519,55,Other,Medium,Cold,Adventure,Short (1-3 days),Villa,Cruise,Low,Vegan,Family,Canada
8343,62,Female,High,Tropical,History,Long (8+ days),Hotel,Flight,Low,Vegan,Family,Mexico
312,29,Male,High,Cold,Culture,Short (1-3 days),Villa,Train,Low,Vegetarian,Solo,Switzerland
3232,35,Female,Low,Warm,Adventure,Short (1-3 days),Resort,Train,High,Vegetarian,Solo,Thailand
7933,37,Other,Low,Warm,Relaxation,Medium (4-7 days),Airbnb,Train,High,Non-Vegetarian,Family,Indonesia
7458,37,Other,High,Cold,Relaxation,Long (8+ days),Airbnb,Train,Moderate,Vegan,Solo,Finland
9784,57,Female,Low,Tropical,Nightlife,Long (8+ days),Hotel,Car,Moderate,Vegan,Family,Japan
5184,32,Other,High,Cold,Nature,Short (1-3 days),Villa,Train,Low,Vegetarian,Couple,Greece
8077,39,Female,Medium,Warm,Nightlife,Long (8+ days),Resort,Flight,Moderate,Non-Vegetarian,Solo,Greece
6502,20,Female,High,Warm,Culture,Medium (4-7 days),Airbnb,Train,Low,Non-Vegetarian,Couple,Thailand
6791,59,Female,High,Cold,Nightlife,Long (8+ days),Villa,Cruise,High,Vegetarian,Couple,Egypt
7773,25,Male,Low,Warm,Nightlife,Long (8+ days),Airbnb,Train,High,Non-Vegetarian,Solo,Greece
2738,46,Male,Low,Tropical,Culture,Short (1-3 days),Airbnb,Car,Moderate,Non-Vegetarian,Solo,Vietnam
7842,21,Other,Medium,Cold,Nature,Long (8+ days),Hotel,Flight,Moderate,Non-Vegetarian,Family,Greece
6262,40,Female,High,Warm,Relaxation,Short (1-3 days),Resort,Cruise,Moderate,Vegetarian,Family,Brazil
8206,44,Female,Low,Warm,History,Short (1-3 days),Villa,Car,Low,Non-Vegetarian,Solo,Vietnam
1248,52,Other,Medium,Cold,Nightlife,Long (8+ days),Airbnb,Car,High,Vegan,Family,Switzerland
9336,53,Male,Low,Tropical,Relaxation,Long (8+ days),Airbnb,Car,High,Non-Vegetarian,Family,Philippines
4195,46,Other,Medium,Warm,Culture,Short (1-3 days),Resort,Car,High,Vegan,Solo,Italy
8001,60,Male,Low,Tropical,Nightlife,Short (1-3 days),Hotel,Cruise,High,Non-Vegetarian,Family,USA
7378,64,Male,Low,Warm,Adventure,Long (8+ days),Hotel,Cruise,Moderate,Vegan,Couple,Thailand
3435,46,Male,Medium,Cold,Adventure,Short (1-3 days),Hotel,Cruise,High,Vegetarian,Family,Canada
5382,33,Other,Low,Warm,History,Long (8+ days),Resort,Cruise,Low,Non-Vegetarian,Solo,Costa Rica
959,41,Other,High,Cold,Adventure,Short (1-3 days),Guesthouse,Flight,Moderate,Vegan,Couple,Japan
417,36,Female,Medium,Tropical,History,Medium (4-7 days),Villa,Car,Low,Vegan,Couple,Vietnam
5742,45,Male,Low,Tropical,Nightlife,Medium (4-7 days),Airbnb,Flight,Moderate,Vegetarian,Couple,Thailand
6728,21,Male,Medium,Cold,Relaxation,Short (1-3 days),Guesthouse,Cruise,Low,Vegetarian,Family,Brazil
4382,52,Male,High,Tropical,Nature,Medium (4-7 days),Resort,Flight,Low,Non-Vegetarian,Solo,Costa Rica
5197,23,Male,Low,Warm,Relaxation,Short (1-3 days),Resort,Cruise,High,Non-Vegetarian,Couple,Costa Rica
1113,65,Female,Low,Tropical,Relaxation,Medium (4-7 days),Airbnb,Cruise,High,Non-Vegetarian,Couple,Philippines
2689,33,Male,Low,Tropical,Adventure,Long (8+ days),Hotel,Train,Low,Non-Vegetarian,Family,Indonesia
6473,23,Male,Low,Warm,Culture,Short (1-3 days),Villa,Car,High,Non-Vegetarian,Couple,Spain
8820,20,Male,Medium,Warm,Nature,Short (1-3 days),Resort,Train,Low,Non-Vegetarian,Couple,Switzerland
7808,44,Other,Low,Tropical,Culture,Long (8+ days),Guesthouse,Flight,Low,Non-Vegetarian,Family,Vietnam
3411,45,Female,Medium,Warm,Relaxation,Short (1-3 days),Resort,Car,Moderate,Vegetarian,Couple,Mexico
81,48,Other,High,Tropical,Culture,Long (8+ days),Villa,Train,Moderate,Vegetarian,Couple,New Zealand
